Title,video,sample,start,end,initial_code,action,difficulty_with_existing_speech_tools,tag_primary,tag_secondary,how_primary,how_secondary,location,intent,adjusted_start,adjusted_end,duration,true_duration,true_duration_unlabelled,estimated_duration,insights_and_notes
"
ASMR UI Designing in FIGMA - STRIPE - No Talking | Silent
ASMR UI Designing in FIGMA - STRIPE - No Talking | Silent",https://www.youtube.com/watch?v=OLb7Rqo1KVQ,2_1,0.1,0.13,zoom,[zoom],,navigation,,gesture,,,,0.0,3.0,3.0,<4 seconds,4.0,3.5,
,,,0.13,0.14,select rectangle dropdown menu with cursor,[gui interaction],,selection,,cursor,,gui,activate rectangle tool,3.0,4.000000000000002,1.0000000000000018,<2 seconds,2.0000000000000018,1.5000000000000018,
,,,0.14,0.15,click place image ,[gui interaction],,gui interaction,,cursor,,gui,,4.000000000000002,5.0,0.9999999999999982,<2 seconds,1.9999999999999982,1.4999999999999982,
,,,0.15,0.2,select image to import,[gui interaction],,gui interaction,,cursor,,gui,,5.0,10.0,5.0,<6 seconds,6.0,5.5,
,,,0.2,0.23,drag and drop image to desired position whilst adjusting viewport zoom,[drag] to [create] [reference] at [new position] on [canvas] using [cursor] and [freehand positioning],,creating design object using freehand,,cursor,,canvas,,10.0,13.0,3.0,<4 seconds,4.0,3.5,
,,,0.24,0.26,drag image to align top edge and left edge with existing frame,[drag] [reference] to [new position] using [cursor] and [reference],,reference positioning,,cursor,,canvas,,14.0,16.0,2.0,<3 seconds,3.0,2.5,
,,,0.28,0.29,drag 'desktop' frame height to match image height,[drag] [reference] to [resize] using [reference],,resize design object,,cursor,,canvas,,18.000000000000004,18.999999999999996,0.9999999999999929,<2 seconds,1.999999999999993,1.499999999999993,
,,,0.3,0.31,drag 'desktop' frame width to match image height,[drag] [reference] to [resize] using [reference],,resize design object,,cursor,,canvas,,20.0,21.0,1.0,<2 seconds,2.0,1.5,
,,,0.33,0.34,,[mistake/redundant],,,,,,,,23.0,24.0,1.0,<2 seconds,2.0,1.5,
,,,0.36,0.39,add a vertical page ruler guide to align with a feature in the image,[create] [alignment guide] using [reference],,alignment guides,,cursor,,canvas,,26.0,29.0,3.0,<4 seconds,4.0,3.5,
,,,0.41,0.46,add a vertical page ruler guide to match distance from edge of 'desktop' frame,[create] [alignment guide] using [reference],,alignment guides,,cursor,,canvas,,31.0,36.0,5.0,<6 seconds,6.0,5.5,
,,,0.47,0.47,drag image out of 'desktop' frame,[drag] [reference] to [new position] using [cursor] and [reference],,reference positioning,,cursor,,canvas,,37.0,37.0,0.0,<1 second,1.0,0.5,
,,,0.49,0.5,zoom out viewport so all elements are in frame,[zoom] to fit context in viewport,,navigation,,complex gesture,,,,39.0,40.0,1.0,<2 seconds,2.0,1.5,
,,,0.51,0.51,zoom in viewport to focus on image,[zoom] to focus [reference],,navigation,,complex gesture,,canvas,,41.0,41.0,0.0,<1 second,1.0,0.5,
,,,0.53,0.54,pan and adjust viewport to focus on 'desktop' frame,[pan] to focus [reference],,navigation,,complex gesture,,canvas,,43.0,44.0,1.0,<2 seconds,2.0,1.5,
,,,0.55,0.55,undo action,[undo],,undo,,keyboard,,,,45.00000000000001,45.00000000000001,0.0,<1 second,1.0,0.5,
,,,0.55,0.56,zoom to focus 'desktop' frame,[zoom] to focus [reference],,navigation,,complex gesture,,,,45.00000000000001,46.00000000000001,1.0,<2 seconds,2.0,1.5,
,,,0.58,0.58,select rectangle tool,[gui interaction],,activate tool,,cursor,,gui,activate rectangle tool,47.99999999999999,47.99999999999999,0.0,<1 second,1.0,0.5,
,,,0.59,0.59,slight zoom,[zoom],,navigation,,gesture,,,,49.0,49.0,0.0,<1 second,1.0,0.5,
,,,0.59,1.01,drag and drop a rectangle from the top lefthand corner of the 'desktop' frame to around two thirds of the height of the 'desktop' frame and one quarter the width of the 'desktop' frame,[drag] to [create] [reference] at [new position] on [canvas] using [cursor] and [freehand positioning],,creating design object using freehand,,cursor,,canvas,,49.0,51.0,2.0,<3 seconds,3.0,2.5,
,,,1.02,1.02,zoom out to focus 'desktop' frame,[zoom] to focus [reference],,navigation,,complex gesture,,,,52.0,52.0,0.0,<1 second,1.0,0.5,
,,,1.03,1.03,drag rectangle width to match 'desktop' frame width,[drag] [reference] to [resize] using [reference],,resize design object,,cursor,,canvas,,53.0,53.0,0.0,<1 second,1.0,0.5,
,,,1.05,1.05,double click rectangle,[select] [reference] on [canvas] using [cursor],,selection,,cursor,,canvas,,55.0,55.0,0.0,<1 second,1.0,0.5,
,,,1.06,1.09,drag position of BR rectangle handle to ~two fifths of current height,[drag] [reference] to [resize] using [reference],,resize design object,,cursor,,canvas,,56.0,59.0,3.0,<4 seconds,4.0,3.5,
,,,1.12,1.12,deselect 'rectangle 1',[deselect],,selection,,keyboard,,,,62.000000000000014,62.000000000000014,0.0,<1 second,1.0,0.5,
